Subject;Start Date;Start Time;End Date;End Time;Location;Description
Biotonne;29/03/2023;00:00:00;30/03/2023;00:00:00;Hainstadt;Biotonne morgen rausstellen nicht vergessen
Gelber-Sack;30/03/2023;00:00:00;31/03/2023;00:00:00;Hainstadt;Gelber-Sack morgen rausstellen nicht vergessen
Biotonne;04/04/2023;00:00:00;05/04/2023;00:00:00;Hainstadt;Biotonne morgen rausstellen nicht vergessen
Restmüll;12/04/2023;00:00:00;13/04/2023;00:00:00;Hainstadt;Restmüll morgen rausstellen nicht vergessen
Biotonne;13/04/2023;00:00:00;14/04/2023;00:00:00;Hainstadt;Biotonne morgen rausstellen nicht vergessen
Gelber-Sack;14/04/2023;00:00:00;15/04/2023;00:00:00;Hainstadt;Gelber-Sack morgen rausstellen nicht vergessen
Biotonne;19/04/2023;00:00:00;20/04/2023;00:00:00;Hainstadt;Biotonne morgen rausstellen nicht vergessen
Papiertonne;21/04/2023;00:00:00;22/04/2023;00:00:00;Hainstadt;Papiertonne morgen rausstellen nicht vergessen
Restmüll;25/04/2023;00:00:00;26/04/2023;00:00:00;Hainstadt;Restmüll morgen rausstellen nicht vergessen
Biotonne;26/04/2023;00:00:00;27/04/2023;00:00:00;Hainstadt;Biotonne morgen rausstellen nicht vergessen
Gelber-Sack;27/04/2023;00:00:00;28/04/2023;00:00:00;Hainstadt;Gelber-Sack morgen rausstellen nicht vergessen
Biotonne;04/05/2023;00:00:00;05/05/2023;00:00:00;Hainstadt;Biotonne morgen rausstellen nicht vergessen
Restmüll;09/05/2023;00:00:00;10/05/2023;00:00:00;Hainstadt;Restmüll morgen rausstellen nicht vergessen
Biotonne;10/05/2023;00:00:00;11/05/2023;00:00:00;Hainstadt;Biotonne morgen rausstellen nicht vergessen
Gelber-Sack;11/05/2023;00:00:00;12/05/2023;00:00:00;Hainstadt;Gelber-Sack morgen rausstellen nicht vergessen
Biotonne;16/05/2023;00:00:00;17/05/2023;00:00:00;Hainstadt;Biotonne morgen rausstellen nicht vergessen
Papiertonne;19/05/2023;00:00:00;20/05/2023;00:00:00;Hainstadt;Papiertonne morgen rausstellen nicht vergessen
Restmüll;23/05/2023;00:00:00;24/05/2023;00:00:00;Hainstadt;Restmüll morgen rausstellen nicht vergessen
Biotonne;24/05/2023;00:00:00;25/05/2023;00:00:00;Hainstadt;Biotonne morgen rausstellen nicht vergessen
Gelber-Sack;25/05/2023;00:00:00;26/05/2023;00:00:00;Hainstadt;Gelber-Sack morgen rausstellen nicht vergessen
Biotonne;01/06/2023;00:00:00;02/06/2023;00:00:00;Hainstadt;Biotonne morgen rausstellen nicht vergessen
Restmüll;06/06/2023;00:00:00;07/06/2023;00:00:00;Hainstadt;Restmüll morgen rausstellen nicht vergessen
Biotonne;07/06/2023;00:00:00;08/06/2023;00:00:00;Hainstadt;Biotonne morgen rausstellen nicht vergessen
Gelber-Sack;09/06/2023;00:00:00;10/06/2023;00:00:00;Hainstadt;Gelber-Sack morgen rausstellen nicht vergessen
